customer_id,square_customer_id,first_name,last_name,email,phone,date_of_birth,customer_type,preferred_eras,preferred_styles,preferred_sizes,total_orders,total_spent,average_order_value,first_purchase_date,last_purchase_date,acquisition_source
1,sq_cust_001,Jeffrey,Daniels,cheryl80@example.net,(641) 241-1824 x493,1969-04-03,casual_buyer,"['Y2K', '1970s']","['grunge', 'bohemian', 'band_tees']",['XL'],1,616.29,616.29,2023-03-13 00:00:00,2023-03-13 00:00:00,referral
2,sq_cust_002,Mark,Baker,dking@example.org,+1 (740) 052-4278,1986-05-28,casual_buyer,"['1980s', '1970s']","['band_tees', 'grunge']","['S', 'M']",1,137.71,137.71,2024-11-03 00:00:00,2024-11-03 00:00:00,tiktok
3,sq_cust_003,Ashley,Landry,amydavenport@example.net,(926) 204-5053 x315,2001-12-02,casual_buyer,['1980s'],['punk'],['size_6'],2,427.53,213.76,2023-08-13 00:00:00,2023-09-30 00:00:00,tiktok
4,sq_cust_004,Jennifer,Oliver,sarayoung@example.org,760 256 3421,2001-05-06,casual_buyer,"['1970s', '1990s']","['romantic', 'grunge']","['M', 'L']",1,339.93,339.93,2023-04-19 00:00:00,2023-04-19 00:00:00,word_of_mouth
5,sq_cust_005,Shannon,Walker,ybailey@example.org,(703) 654-1458,1992-02-06,casual_buyer,"['1980s', '1970s']",['romantic'],['XS'],1,119.24,119.24,2023-04-13 00:00:00,2023-04-13 00:00:00,walk_by
6,sq_cust_006,Sarah,Rivera,wilsontara@example.org,1-201-965-5698,1977-12-21,casual_buyer,"['Y2K', '1960s']","['minimalist', 'disco']","['size_12', 'XL']",0,0.0,0.0,,,referral
7,sq_cust_007,Kenneth,Scott,zsmith@example.net,(556) 159-5148,1991-06-29,casual_buyer,['Y2K'],"['band_tees', 'bohemian']","['size_8', 'M']",1,249.41,249.41,2023-12-06 00:00:00,2023-12-06 00:00:00,tiktok
8,sq_cust_008,Gabriel,Terry,jamesortega@example.com,799 468 0443,1997-03-13,reseller,['Y2K'],['disco'],['M'],1,525.38,525.38,2023-12-01 00:00:00,2023-12-01 00:00:00,instagram
9,sq_cust_009,Lisa,Morris,nramos@example.net,121-489-5134 x332,1961-09-13,reseller,"['1990s', '1960s']",['band_tees'],"['L', 'XS']",0,0.0,0.0,,,instagram
10,sq_cust_010,Victoria,Carr,gibsonolivia@example.net,(367) 632-0163,1998-01-29,collector,"['1960s', '1970s']",['romantic'],['XL'],1,152.24,152.24,2023-07-12 00:00:00,2023-07-12 00:00:00,tiktok
11,sq_cust_011,Melissa,Marshall,samanthamartinez@example.org,888-957-9868 x727,1971-12-04,reseller,['1980s'],"['band_tees', 'punk']","['S', 'L']",1,344.55,344.55,2023-02-23 00:00:00,2023-02-23 00:00:00,instagram
12,sq_cust_012,Danielle,Walsh,rsims@example.com,443.455.8122,1977-11-13,casual_buyer,['1960s'],['bohemian'],['S'],0,0.0,0.0,,,walk_by
13,sq_cust_013,Christian,Lewis,irussell@example.com,+1 (103) 669-0967,2004-09-25,casual_buyer,"['1990s', '1970s']","['preppy', 'band_tees', 'disco']","['L', 'size_10']",0,0.0,0.0,,,walk_by
14,sq_cust_014,Elizabeth,Price,vmedina@example.net,(373) 467-0656,1999-10-29,casual_buyer,"['1990s', 'Y2K']","['bohemian', 'band_tees']",['XS'],4,1139.85,284.96,2023-05-25 00:00:00,2024-05-14 00:00:00,tiktok
15,sq_cust_015,Tamara,Hooper,meadowsbrittany@example.net,416-272-0465,1981-04-22,casual_buyer,['Y2K'],"['preppy', 'punk']",['XL'],1,298.48,298.48,2023-09-08 00:00:00,2023-09-08 00:00:00,tiktok
16,sq_cust_016,George,Hobbs,karen64@example.org,308-053-1003 x309,1970-12-07,casual_buyer,['1960s'],"['bohemian', 'romantic', 'grunge']",['size_8'],1,286.22,286.22,2023-07-07 00:00:00,2023-07-07 00:00:00,tiktok
17,sq_cust_017,Kara,Wilson,stevenscott@example.com,799 124 1904,1978-07-10,reseller,['1990s'],['minimalist'],"['size_10', 'XL']",1,188.49,188.49,2023-04-09 00:00:00,2023-04-09 00:00:00,tiktok
18,sq_cust_018,Miguel,Jones,curtisbarton@example.net,190.586.5185,2000-04-05,casual_buyer,"['1970s', 'Y2K']","['punk', 'bohemian']",['size_6'],1,176.6,176.6,2024-07-15 00:00:00,2024-07-15 00:00:00,instagram
19,sq_cust_019,Samantha,Garcia,cynthia72@example.com,684 987 7694,2000-05-13,reseller,['1960s'],"['grunge', 'minimalist', 'romantic']",['size_14'],2,681.4,340.7,2024-08-31 00:00:00,2024-12-28 00:00:00,instagram
20,sq_cust_020,Ronald,Miller,dsanchez@example.net,+1 (650) 752-7354,1972-11-26,collector,['Y2K'],"['bohemian', 'disco', 'romantic']","['size_14', 'size_12']",2,763.45,381.72,2023-06-02 00:00:00,2024-11-14 00:00:00,instagram
21,sq_cust_021,Linda,Beard,blackjames@example.org,+1 (478) 377-7014,1978-11-22,casual_buyer,['1980s'],"['preppy', 'band_tees']","['size_10', 'size_6']",2,1232.6,616.3,2023-07-13 00:00:00,2024-03-14 00:00:00,walk_by
22,sq_cust_022,David,Beck,thomas85@example.com,(355) 744-4313 x518,1968-09-04,casual_buyer,['1960s'],"['punk', 'disco', 'preppy']",['size_6'],1,431.56,431.56,2023-09-11 00:00:00,2023-09-11 00:00:00,walk_by
23,sq_cust_023,Parker,Hill,tina34@example.org,1 (524) 082-4008,1992-12-16,casual_buyer,"['Y2K', '1980s']","['bohemian', 'band_tees', 'disco']","['S', 'M']",2,410.1,205.05,2023-01-17 00:00:00,2023-12-08 00:00:00,instagram
24,sq_cust_024,Cameron,Oneill,agarcia@example.net,1-277-752-0471,1978-09-19,collector,"['Y2K', '1970s']","['band_tees', 'grunge', 'romantic']","['size_12', 'size_10']",0,0.0,0.0,,,instagram
25,sq_cust_025,Benjamin,Soto,hernandezlisa@example.com,731.869.9938,1981-02-08,collector,"['1980s', '1960s']",['band_tees'],['XL'],1,227.36,227.36,2023-12-24 00:00:00,2023-12-24 00:00:00,instagram
26,sq_cust_026,Jessica,Dalton,ntorres@example.org,333.412.3281,1959-08-11,casual_buyer,['1960s'],"['preppy', 'disco', 'bohemian']","['size_14', 'size_12']",1,453.02,453.02,2024-07-13 00:00:00,2024-07-13 00:00:00,instagram
27,sq_cust_027,Joanna,Wheeler,antonio44@example.net,213-493-6183 x242,1962-05-06,casual_buyer,['1980s'],['punk'],['size_6'],1,166.47,166.47,2023-10-31 00:00:00,2023-10-31 00:00:00,word_of_mouth
28,sq_cust_028,Ricky,Larson,scott74@example.net,+1 (648) 877-1906,1988-06-17,reseller,['1970s'],['preppy'],"['XS', 'M']",1,315.23,315.23,2023-06-20 00:00:00,2023-06-20 00:00:00,word_of_mouth
29,sq_cust_029,Allison,Perez,keyemily@example.com,227-874-2967,1982-01-16,casual_buyer,['1980s'],['grunge'],"['XS', 'size_10']",3,1303.36,434.45,2023-06-23 00:00:00,2024-03-13 00:00:00,instagram
30,sq_cust_030,Jason,Morris,hodgemark@example.net,146-807-1545 x168,1991-01-19,casual_buyer,['1970s'],['punk'],"['size_6', 'XL']",1,42.06,42.06,2024-11-09 00:00:00,2024-11-09 00:00:00,walk_by
